	average
QP6vsp5WsMfMtxg8JdFQWg	164.4736842105263
y8V7jjbxHXNKCqVETWjvWw	164.4736842105263
l8-If5KB4N3hY2mLskIkeA	114.03508771929823
3LMtnGWAFE-Y-jhUlDEq-Q	166.00877192982455
vkwyIFsIA20WGnMS-rD9LA	192.10526315789474
24AzZDQKHySwMQR7VQVCAg	168.92712550607285
dIvYubqOywmMw7UkixWhLA	191.66666666666669
2R7Dpyr456c2A2dE7mvFfQ	187.71929824561403
hCLRcEIrkDdjWWccz9IWpA	190.78947368421052
L8GB1sEXJrVfR-UsDRjI-g	163.37719298245614
wNLZnNNLV8rOGiPjqMPVdQ	170.8333333333333
VtLdzz_1olnpRU6AuSsEVg	165.35087719298247
8FjAZbvU_DfhcAjwTEav8Q	192.10526315789474
Wncmy7Vs1BsD8XrVnuhk3A	164.4736842105263
PfL7ofH8QFLhb6BEIu1hUg	190.3508771929825
YIMeEHUYm69m-Mqf-NjPHw	161.0275689223058
Rcl6sdC9n_Z0gb8k7K7RrQ	189.03508771929828
NVV6XjrtO_qalszgbWDnxA	115.35087719298244
tNj9IzaAWBvzWRQf9NMf0Q	163.5964912280702
fG3rtsHPyt45Hb_aTtAlRg	164.91228070175438
ocR-uM3bClfX800Jgwso3A	189.4736842105263
01wompbstdwlq1ct1-RWZQ	89.47368421052632
D0H49xVmY-KMOPgS4MofDw	191.22807017543857
Hoq-l4lrIiQxWuz7oF2rkg	190.3508771929825
8aZZRNMZXlT3Mz854LwICg	87.28070175438594
PH8SyiEDbgE0IvBmPfSZqA	164.4736842105263
bJJIRFEQfI2muab6jcoReQ	106.57894736842104
brd33PD_6nqK_VVnO3NWAg	155.70175438596493
tHIn2RumaoBuX090hgxt5g	166.2280701754386
UedTLWb7nCVJHiZkuBs2iQ	189.03508771929825
N3EBa3byYBBJJr45Xe-jCQ	165.35087719298247
Or5pW86S9pFjp_9HHsQuOQ	190.3508771929825
2dRBsAnk7J_GK57RLn1xOg	190.78947368421046
-EJZRlgLXORMaR_8XMRH2w	152.19298245614033
aZPyoXzDvudTgyDRYhDWKg	164.91228070175438
-MtMCXIgupfxAml5embtBw	165.35087719298247
-0xEqfbgJFmbXh53qSqEww	166.66666666666669
iTMxCT93I3UhPAiH42OVJw	165.78947368421052
lD_kqqyGaqQkpfE44yAMJQ	177.6315789473684
7kvWyj2W7DLSfLqt0ypBVQ	167.10526315789474
qDXF8u6hLuY7Viwue6dFNQ	164.69298245614033
vMtyeOOlyKsYsO-Ze6LVSA	189.4736842105263
kWyAQfj2l1BXSSlcG7Cw6Q	190.35087719298247
mwPcqCNBhSdY_yHbK3ex4g	164.91228070175438
Zpjldq-TzqLCH6Yd3DTYaQ	114.47368421052632
b0iXAx67BQVoGxABlih3UA	191.22807017543857
IxGENCkeb639pDR2sYOJKQ	140.78947368421052
cGdytdvJxMfv_BUidGGg3A	189.03508771929825
E0dC0a9Dl-sYWDAL41wF0g	114.47368421052632
FtNga5n67X1KpUDcXud30Q	166.2280701754386
DdCA-nJzATCsQpAVGZB89w	189.9122807017544
JZdRx_y47DhPRwb7lVz8kw	189.9122807017544
-Zk0XLOZOU72AHqCpOaUkw	89.47368421052632
8rYnOC6IU_A_f-o73aDt9g	153.0701754385965
Om1C7klcMfIP_DkIJYNhaw	187.28070175438597
QRcMZ8pJJBBZaKubHOoMDQ	189.9122807017544
EiP1OFgs-XGcKZux0OKWIA	153.81578947368422
R-jgtommiLk786yXbF3PjA	192.98245614035088
HNycc5PctOiR2PXb-TFCIQ	157.0175438596491
AryBBn--MdbJylcIAVb-_A	146.66666666666669
aeRJxUF3Xpdy1e9_T4HMZg	191.66666666666669
R4DbGR385XJbgrVQ3lKLcg	164.4736842105263
AewcRKk4XXNI41j4A5-H2g	190.78947368421046
9jpQcVuchKxjLyH-_ZqQvg	114.47368421052632
yBOAoIDR7b6r3v3pAqNnLA	189.69298245614036
XuXdIy1Z6Or1dbeBQ4HpWQ	190.78947368421046
vAnd-dJ9fbrFu-lIaht6CA	153.0701754385965
mYib3DaYyJtchE3kjk5rCQ	112.71929824561406
U5dPT70S_DsFOquC3Jc5rQ	171.78362573099415
Z513soFwRmelhXxCnnMn8A	114.03508771929823
BEtaiCJhXcSETepZvGmkMQ	91.22807017543859
UmFRfYy8GnJVpUUD1VKEMQ	113.15789473684212
R3wC6bC49GHcB2gSUl3Bsw	191.22807017543857
8DBH3BpLINfTAK_Up5BtUQ	173.35526315789474
cXlHM3XZRWmiBqVlFZM-Ig	165.78947368421052
MaHWbQXWzSVO-ufnsw-4Gw	113.59649122807018
17T541hwWCZel-sslpBQiQ	114.91228070175438
dWwCVLE3eVYpDMkagVuSNw	191.22807017543857
CgmMRd5f8C57-pbxwZP3kg	190.78947368421046
YzOQkE2Aveiu_Ndx3JWYUA	89.91228070175438
3hNtM8fEO3qjpaFasxyz_g	139.69298245614036
T1iwxCIsC1c46S15E6EmsQ	193.421052631579
NbQSdaEf5tgfLqXl_gBTVg	190.3508771929825
oxOqIvSPhsKXiD6MS_YbUw	165.78947368421052
rhE4gLtM0gb3XLwSz6HPCw	158.04093567251462
4wGIu9gi3zy2oixT8uJdvA	191.66666666666669
wpdhp6AfVXvYUxPp13wVSw	189.9122807017544
AgWz3sUCZawYG_szu7Bx3A	145.94298245614036
cb6PC0KrU9OFClNkPOGy8Q	89.91228070175438
l2HA-yDl2rLCQ6S3li5nrg	88.59649122807018
bhJ6ivAuSpgXP4JiKWjSZQ	146.52777777777774
AtRepR76yRMAdvUoEHuDZg	140.5701754385965
3On7zLyuqhWyH-FVQNWxJw	190.78947368421046
G682_LGn_OVulUWmFQwbQw	189.9122807017544
uZOvIc6r_rqlSTaulIYgJQ	104.97076023391814
HT8fywuIwxjT3fcWpYGrtw	164.76608187134505
wHAxtj5Gbk9xywIJRrzcKQ	151.9736842105263
wOJHB_uUB2rOjpx58Au6PQ	162.93859649122805
CpKMofwiQUGKKCK93DouVA	189.4736842105263
RoK8csDjGaFsigbKrWKIJg	190.78947368421046
nszzLIrhrbJRDNOX0W50Fw	140.78947368421052
7QVNLrJDkjsDsCtODlPdsw	143.94736842105266
BN1rhUJSWyqrajNzWXF4ZA	191.22807017543857
D-kHnEoD81SA42_gqh45yQ	166.2280701754386
JB54MjNIqtPUq7oajWfyEg	189.9122807017544
4_GIe7l9-YdMYcAIijj6Sw	90.7894736842105
gjW2ctfe4yvTD7IqmZUeBg	141.2280701754386
1pXKWNTf5RsPkd6er5aVog	192.98245614035088
VZpzm3HG_YXPHvY97m05qg	128.0701754385965
v2WrKPkRI1TikXDKAi8VFw	148.68421052631578
w1Z4259rrgqEXqmulNqnDQ	141.2280701754386
ieoA-zYq-C2Ujfcl5NTo-Q	189.03508771929825
SySlhUGenbyKSf7QV3u58Q	163.1578947368421
dcYFZfdpPTs9_lFYepapGA	139.91228070175438
7rESUO9QIILfPDImFkcOqg	192.10526315789474
12JDv0Qj9E475HZn3OEGJA	115.35087719298244
nrRbgMgmXrzGIljh0vNBug	190.78947368421046
HBQJ59d86OQpfkgquS9hrg	193.859649122807
oplWgjTUMVyIohDvtF_Hcw	164.91228070175438
9OcOmJdNUEgBrZg1XeqFww	189.9122807017544
8Uq38O_d-SWN-p4jo2aa9Q	190.3508771929825
CQC2wIlzVW3Rdce8uiaF5g	189.9122807017544
0VYunENew1m2DVL6pk_nBw	151.75438596491227
vwLV4TkRMoghs86tB1Ke8Q	163.2205513784461
4xwc0rMUHXt41p_ibbjbEQ	163.5964912280702
QuZbJquRtbY9O9JrB9NpxQ	147.91666666666666
fUifGDFB4e7bgI1vbqugzA	139.4736842105263
KGsXnYHvYddGaL_jyl0DMQ	158.18713450292395
FRvI9WRrw6IxD6xpjEbNAw	185.96491228070172
e5XzbTtLOFm1Wf2YyQV4Jg	127.63157894736842
8EipJXehR14DD9x9N7RSSw	157.60233918128657
orsGwqZsPHTQ5YgEfa4AtQ	178.94736842105266
VHc1yqBhsE-l3JQFXuWydQ	150.10964912280704
EqHk9e7hR8GuI9LxBygrhQ	166.66666666666669
YA8W7Lww4FGGM63UlHCeYg	189.4736842105263
3aaEvCz46QrSBEYyZPocHg	190.78947368421046
xqCdNlhShqFYIyMEYlTK9w	138.5964912280702
1YdCzQYph2RLrwsJ-Ns8XQ	190.78947368421046
RPg1EKEZgSNNEWGhsRE0lA	189.9122807017544
ZtiC7JXw-fI4N4tplVfFHA	192.54385964912282
qWeiidtgba1AbPBnwJfleA	190.78947368421046
NgqVI51Fot6-bTUT6lpYow	189.03508771929825
WXlxViTwXHPBvhioljN9PQ	137.5
WF85FzNETadJcmvvf2_nLw	140.3508771929825
1XnkcBtVQNMK7jAtV05YQg	82.89473684210526
MXmY-At4zaIilZmi3q1i0g	189.9122807017544
NTtOaQ9qV9M6JTYAXSp3bw	188.15789473684208
Dxwp0XvAE86MHeJcsP3lxg	190.78947368421046
C4Q8HL0pDMUTj5ioWeEsjQ	191.22807017543857
kyeaS-RqQe0Rc6SpAwUV2g	189.9122807017544
aW2Czj4RfmOUgEEpciREsg	167.54385964912282
WtfvKgz6t6Cb5G72xT4Xhg	166.2280701754386
pN_brrEkn1MdVGvMtoqgOg	165.78947368421052
wpmt0i1FUTgi9nnPObk6iA	189.9122807017544
CBAdnjXnM8DwblzRdoIwug	139.03508771929822
2BzThVV6P8hrqpWA-vrp2w	88.15789473684211
4Mfj3tF8SHm57mXmChFLsw	189.4736842105263
gDz3MJuFcM2JtM1Nh5ddEw	114.47368421052632
wc-ImFPko38VG4Rx9DEqNQ	190.78947368421046
xi22v7HvbKEdLZu45HJRMQ	190.78947368421046
vOrTlYU1vk8Evw8JqtXwoA	191.22807017543857
9ozZ4M8peuJm8ztRXXBl3A	89.03508771929825
8teQ4Zc9jpl_ffaPJUn6Ew	154.60526315789474
Kt-dsblXQnsUv3GjA_DFvg	163.48684210526318
1mWig_Kq2rxkmcGvOfpE6A	156.43274853801168
0HuYmSeNfDwBJGHmTJa8rg	88.15789473684212
q5j3gxZbF_qCviRctL9wzg	171.19883040935676
z0zlvlrYJSAvjsNAfSQpGQ	150.26315789473682
miYadhpWV81SXUEae3LX_A	164.91228070175438
aQnEeVRmHdebqVVH9-e9Ig	163.5964912280702
BF1VQec8LxZdg4Lk_-0JFQ	189.9122807017544
DZChyIi8X3LMVLi86793VQ	188.15789473684208
xqVNKHYEOVeLks-axUNH2Q	187.28070175438597
_9Ytwo8KsUoWJgsZFyVQ1Q	164.91228070175438
-onC-AjB6FVFY5PhZ9cpLQ	112.71929824561406
KniGOck0_THlQgA3pqZ5Wg	142.10526315789474
qc-hCVaOa6xaar3DBlif3A	164.4736842105263
ua4cmdW4iEV83DF347odhw	161.8421052631579
sFrAF3Az-G3feB4SmXUvtw	165.78947368421052
GMlMILsx76tSOuxKAdeP_Q	88.59649122807018
lfVd7Wu8oFtk75zss4fYDQ	151.31578947368422
i_MECKG0f14wu3XWpX05cw	191.66666666666669
1j1drEYT18XTIjXRihPq6w	142.10526315789474
AjXR1KHI82SSdLwkWzTJ0w	189.9122807017544
-s1vboE3TrHcieEsKh0kJQ	176.0964912280702
ccm_0KvF4cBJC8ni9MmIxA	178.50877192982458
jVId-LuFWjg9nF1Bny3ZIg	161.4035087719298
9ySznFeYIxOJxbuj-JJsfg	191.22807017543857
F04oV9zmhwayogr4D-ljAQ	166.0818713450292
JAxs7CvU15l0e6NGbPOObw	90.35087719298244
2sNEKxKcGaTVBJiokqp9Zg	189.9122807017544
RkzQJ--bwZaanE8JPYmIWA	156.7251461988304
S2tfbnjoCzMX0U0B_cTXVw	152.4122807017544
0rb6Xh-vgqN-3g2TtQVhBA	189.9122807017544
NA3TQ9jYsAH2mIl3QcM0lA	164.4736842105263
1VRphuvNcy2CMZEQvEW5XA	115.35087719298244
mexhTTcXod_6H8Rzpjo8Hg	164.69298245614036
Dx2gQSFHsM4fpclrBV3d0A	164.03508771929825
VE6gHG1fTG-zUzR94sB4Ig	190.78947368421046
_6tKrWwh_sPoUlF06KzSYQ	164.91228070175438
Mk9ekByCVSifYjfPty8kIw	111.40350877192982
1jImrAGreNiIVynmyovZmQ	139.03508771929822
F1m20hBn5iBU4tUK-tv2aw	190.3508771929825
76vs9Y9RGvioW1RspAIOvw	162.71929824561403
JjkEIRpAzESph_QOky1fYQ	164.2543859649123
wEC0un2jtwrkaEoZqi6ZNg	190.3508771929825
g5-GY2usha6xnH57vfkksw	140.78947368421052
C8AAtyNtXTqHXdYziLrlUA	187.71929824561403
C7t2jc6_fdVM_jGV0Gu7dA	189.69298245614036
83w6T9N8_ODJ6zgtmTfUmw	187.28070175438597
94QUT3LCewPoF2vkrYP2wQ	105.70175438596493
JBLWSXBTKFvJYYiM-FnCOQ	190.3508771929825
LviszDbUA34Ci0JYVQdFyg	189.4736842105263
kGluNnnmYScVzQAIGWrG_g	167.10526315789474
8MVU86PKbuaYOpHzTTDVYw	191.66666666666669
VO7az5UvTZmVscviPvFh0Q	190.78947368421046
6EE0ALJPdEp5odH9HcB7yQ	190.78947368421046
2UT9iJ_7Z1-75PsD2kXd-w	164.4736842105263
hj7U5xIeohSoryeV2yVvRA	165.78947368421052
YqMpcRUA0OMw1WNLDGoj-A	139.14473684210526
qIIY0NoQliH9YeRYMPV64A	165.78947368421052
LYBSlu_TNQB3AdRhw0I58Q	152.19298245614036
WLuJy6kI_mTpCK5IxrGTfw	166.2280701754386
AbaO6D183QuKbdFn_VDqCA	89.47368421052632
qgEuHinXp5mC6FQE0NPDVA	190.78947368421046
7Wd908EDHAsasbMln5a16w	165.78947368421052
sD4MT18AMK73HsTNur8eww	88.15789473684212
GPXyEpGyW5CK4Ho22uFKjQ	167.54385964912282
qPF6bqjBQw3a2ymKmBPElg	168.42105263157896
DCdlC5GsyuMxHZTzcSyjRw	127.63157894736841
JvjF7VFqyhXuWG3umtXFbQ	87.28070175438594
1yAg4zcAgo2RpEQ86hReMA	189.9122807017544
12Sw5KNFVT4nrb5pl_fGhg	165.78947368421052
OZl7l_IZNoHEkZ1_RrGsvg	189.03508771929825
3-nNfXV5-LBTsy5z8CLdaQ	190.3508771929825
BWFF6Inafq7FDV9qqbVOng	87.71929824561406
pL4NhW3rTokFr-CQh3Lzgg	191.44736842105266
kkTOV5bnE9hHb5V_zd9b9g	177.85087719298247
ZIKxZRDQZPvwkxkxaSk1kw	114.91228070175438
VraV4Ci-oJsONsoIWCNeXA	166.66666666666669
No5P-cOQQEf0Atgc9Vi84g	164.91228070175438
96aWRa-gy1RrsrFQURagvg	191.22807017543857
E5VQ89LXiaAf9tvzcShcHw	86.40350877192982
FyHZxNOduJBDG53RZK2JdA	189.9122807017544
1r7MX6yY-ocg9SBzgUCwdA	191.66666666666669
rgvuMmaMu8jqnlt90Ydn9w	191.22807017543857
H3VNX1-b-KOhkImp5wdCFA	190.3508771929825
OAz3E4eLtZ9GQMTZ94ix3g	139.03508771929822
BGe5axih8pPF5rNPdeX6lA	190.3508771929825
UcH7GPSXhX0tZxY5t2cH0w	90.35087719298244
7Y6In3syVxv_QPSEXZ7lYA	190.78947368421046
Sq2099J32uFSlku_XeF08w	153.94736842105263
1Mypgmvj1FnLg1a-d9EKBA	189.9122807017544
0U5MoTM9R3NU5lFWhk3wUQ	89.91228070175438
5tZlTfbh7pAwiMeind7LNw	151.7543859649123
Z48a2RaNaqh74gRcQR4ZTQ	191.22807017543857
n85DB1hB8XP-LWq-WxzuWA	190.3508771929825
QCGi-M-5vceWRUWwZcGrKA	188.5964912280702
n6td74q2t6yFCvnxxjYOSQ	188.5964912280702
dfnAKqHfz6SbMAgw8FhGgQ	190.3508771929825
7I0RWTfhYYSGZYc3OCxYrA	164.91228070175438
1GCZfavvSEdqWhrcJQC-kA	190.3508771929825
3TMwcMEmfdmqp8mivxXqXQ	165.35087719298247
zzPvEodjvLPe-5NvV0U_cg	137.93859649122805
EuDrl0RRfTaVmPdoyvXixg	190.3508771929825
7C4B2Skmh4X9f8xJDo9O4w	178.07017543859652
RYFEa_jEVSssm5ru93CcDg	189.9122807017544
swiK1vMSjRW8ud46RTHR8g	189.9122807017544
6yvd8lkA4xdii8HQnz97Jw	140.3508771929825
dQm7mXUyHfKBmUj0aQMSnQ	107.67543859649122
FbpH0tdmL4T_7A5sbnvKnA	139.91228070175438
6sytS0MgKy3n6p38i46FLg	111.40350877192982
jaRClBuLprmG26t-hiJL5Q	140.78947368421052
_YI6FGxZCeTgMETlkuxghg	88.15789473684212
GPD5_F3xwHy1xhLZktWY4A	114.91228070175438
5eGqGZxAcUvKN4sCS4T4Kw	190.3508771929825
BZgvR_4-x7H9HKlH9uOUOg	191.22807017543857
ZPDwV7J5wRTJn-HT04i66w	192.54385964912282
8LxjwK-_eyWCiEPcXYYenw	191.22807017543857
9L16JwrLRJeWR952kqBUHw	189.9122807017544
H6eXXqGuxDk6RYdZZk81dQ	140.20467836257308
fWdEbcVDjidPsVISi4caQQ	189.9122807017544
8MBDEJUYST-Qyq8VYaB_Uw	164.91228070175438
Or61vB9q9CnY0r4dmeOYXw	188.5964912280702
yhRkfq9otcQ0cZwVfmfXcw	190.78947368421046
kR5p8iCMlGm-ld-uq0FrwQ	163.81578947368422
jNkTR0QvQIomwIvb_C8Q8Q	192.54385964912282
WOXtbPwnwrFIt8f8E-UGNA	188.5964912280702
5l8b_5JzznUwGiJ50UGyyQ	135.08771929824562
h-tCKbLDxVK_7rBafeFr5A	190.78947368421046
kR-sICS5zHap_0sic6GtTQ	97.58771929824563
3PgEtiES8aoh44fvgPjoRA	189.9122807017544
eWrzarBZqv13tauEfVHgFg	140.3508771929825
YTl5q-1rvWGqtPs1bX7-hQ	139.91228070175438
t5dfwPEdTd64lyKf-ivw-g	155.99415204678363
P2ifS2J-_NDSIGHSbuxE_g	189.9122807017544
TnMBAVxQrFnKyH0vW3M6Pw	190.78947368421046
QzlRpqiyhxo5nl4h9dafFw	191.22807017543857
fSDHmZrEsv7BJbI9woGoHA	165.78947368421052
dIuYkwYX9zDctKN644P-Vg	188.5964912280702
z6gseuVl0cR7tRLQa_DXuQ	155.1169590643275
scOjb_j0_Ya86W_IkjjKiw	190.3508771929825
u5OaGnkkvRKkTfUEReD0mQ	164.03508771929825
